Result,Voltage Lower (V),Voltage Upper (V),Detonate,Censoring Indicator
0,18,,No,Right
0,19,,No,Right
0,20,,No,Right
1,,21,Yes,Left
1,,20,Yes,Left
1,,19,Yes,Left
0,18,,No,Right
1,,19,Yes,Left
0,18,,No,Right
0,18,,No,Right
0,18.25,,No,Right
0,18.5,,No,Right
0,18.75,,No,Right
0,19,,No,Right
1,,19.25,Yes,Left
1,,19,Yes,Left
0,18.75,,No,Right
1,,19,Yes,Left
0,18.75,,No,Right
0,19,,No,Right
1,,19.25,Yes,Left
0,19,,No,Right
1,,19.25,Yes,Left
1,,19,Yes,Left
0,18.75,,No,Right
1,,19,Yes,Left
0,18.75,,No,Right
0,19,,No,Right
0,19.25,,No,Right
1,,19.5,Yes,Left
1,,19.25,Yes,Left
1,,19,Yes,Left
1,,18.75,Yes,Left
0,18.5,,No,Right
0,18.75,,No,Right
0,19,,No,Right
0,18.75,,No,Right
0,18.5,,No,Right
0,18.75,,No,Right
0,18.5,,No,Right
