Hours Lower,Hours Upper,Censoring Indicator,DegreesC,Count
0,1094,Left,200,3
1094,1521,Interval,200,2
1521,1948,Interval,200,4
1948,2338,Interval,200,2
2338,2886,Interval,200,5
2886,3469,Interval,200,2
3469,4185,Interval,200,3
6797,,Right,200,9
0,344,Left,215,2
344,478,Interval,215,1
478,612,Interval,215,3
612,735,Interval,215,2
735,907,Interval,215,3
907,1090,Interval,215,1
1090,1315,Interval,215,1
1315,1624,Interval,215,3
1624,2136,Interval,215,1
2136,,Right,215,3
0,115,Left,230,2
115,160,Interval,230,2
160,205,Interval,230,2
246,304,Interval,230,3
304,365,Interval,230,3
365,441,Interval,230,3
441,544,Interval,230,2
544,716,Interval,230,1
716,,Right,230,2
