Stress (MPa),Spool,Hours,Censoring Indicator
29.7,2,2.2,Failed
29.7,7,4,Failed
29.7,7,4,Failed
29.7,7,4.6,Failed
29.7,7,6.1,Failed
29.7,6,6.7,Failed
29.7,7,7.9,Failed
29.7,5,8.3,Failed
29.7,2,8.5,Failed
29.7,2,9.1,Failed
29.7,2,10.2,Failed
29.7,3,12.5,Failed
29.7,5,13.3,Failed
29.7,7,14,Failed
29.7,3,14.6,Failed
29.7,6,15,Failed
29.7,3,18.7,Failed
29.7,2,22.1,Failed
29.7,7,45.9,Failed
29.7,2,55.4,Failed
29.7,7,61.2,Failed
29.7,5,87.5,Failed
29.7,8,98.2,Failed
29.7,3,101,Failed
29.7,2,111.4,Failed
29.7,6,144,Failed
29.7,2,158.7,Failed
29.7,5,243.9,Failed
29.7,4,254.1,Failed
29.7,1,444.4,Failed
29.7,8,590.4,Failed
29.7,8,638.2,Failed
29.7,1,755.2,Failed
29.7,1,952.2,Failed
29.7,1,1108.2,Failed
29.7,4,1148.5,Failed
29.7,4,1569.3,Failed
29.7,4,1750.6,Failed
29.7,4,1802.1,Failed
27.6,3,19.1,Failed
27.6,3,24.3,Failed
27.6,3,69.8,Failed
27.6,2,71.2,Failed
27.6,3,136,Failed
27.6,2,199.1,Failed
27.6,2,403.7,Failed
27.6,2,432.2,Failed
27.6,1,453.4,Failed
27.6,2,514.1,Failed
27.6,6,514.2,Failed
27.6,6,541.6,Failed
27.6,2,544.9,Failed
27.6,8,554.2,Failed
27.6,1,664.5,Failed
27.6,2,694.1,Failed
27.6,4,876.7,Failed
27.6,1,930.4,Failed
27.6,6,1254.9,Failed
27.6,4,1275.6,Failed
27.6,4,1536.8,Failed
27.6,1,1755.5,Failed
27.6,8,2046.2,Failed
27.6,4,6177.5,Failed
25.5,6,225.2,Failed
25.5,7,503.6,Failed
25.5,3,1087.7,Failed
25.5,2,1134.3,Failed
25.5,2,1824.3,Failed
25.5,2,1920.1,Failed
25.5,2,2383,Failed
25.5,3,2442.5,Failed
25.5,8,2974.6,Failed
25.5,2,3708.9,Failed
25.5,8,4908.9,Failed
25.5,2,5556,Failed
25.5,6,6271.1,Failed
25.5,8,7332,Failed
25.5,8,7918.7,Failed
25.5,6,7996,Failed
25.5,8,9240.3,Failed
25.5,8,9973,Failed
25.5,1,11487.3,Failed
25.5,5,11727.1,Failed
25.5,4,13501.3,Failed
25.5,1,14032,Failed
25.5,4,29808,Failed
25.5,1,31008,Failed
23.4,7,4000,Failed
23.4,7,5376,Failed
23.4,6,7320,Failed
23.4,3,8616,Failed
23.4,5,9120,Failed
23.4,2,14400,Failed
23.4,6,16104,Failed
23.4,5,20231,Failed
23.4,6,20233,Failed
23.4,5,35880,Failed
23.4,1,41000,Censored
23.4,1,41000,Censored
23.4,1,41000,Censored
23.4,1,41000,Censored
23.4,4,41000,Censored
23.4,4,41000,Censored
23.4,4,41000,Censored
23.4,4,41000,Censored
23.4,8,41000,Censored
23.4,8,41000,Censored
23.4,8,41000,Censored
