Thousands of Hours,Censoring Indicator,DegreesC,Current (mA),Count
10,Censored,61,30,13
9.9284,Failed,61,30,1
9.6026,Failed,61,30,1
9.1576,Failed,61,30,1
9.2411,Failed,61,30,1
9.2875,Failed,61,30,1
9.7825,Failed,61,30,1
9.1924,Failed,61,30,1
9.0825,Failed,61,30,1
9.7221,Failed,61,30,1
9.2779,Failed,61,30,1
8.8783,Failed,61,30,1
9.0827,Failed,61,30,1
9.4933,Failed,61,30,1
9.2943,Failed,61,30,1
9.8167,Failed,61,30,1
8.5591,Failed,61,30,1
8.7126,Failed,61,30,1
9.1659,Failed,77,40,1
8.7076,Failed,77,40,1
7.7831,Failed,77,40,1
8.7104,Failed,77,40,1
8.1969,Failed,77,40,1
7.1733,Failed,77,40,1
9.5415,Failed,77,40,1
8.1535,Failed,77,40,1
9.229,Failed,77,40,1
9.1356,Failed,77,40,1
9.1298,Failed,77,40,1
7.9364,Failed,77,40,1
7.0475,Failed,77,40,1
7.8759,Failed,77,40,1
8.2893,Failed,77,40,1
8.2246,Failed,77,40,1
8.081,Failed,77,40,1
7.2679,Failed,77,40,1
7.2622,Failed,77,40,1
7.8318,Failed,77,40,1
10,Censored,77,40,1
8.6036,Failed,77,40,1
8.3027,Failed,77,40,1
8.2316,Failed,77,40,1
6.8816,Failed,77,40,1
7.93,Failed,77,40,1
9.033,Failed,77,40,1
7.8919,Failed,77,40,1
7.4041,Failed,77,40,1
6.7652,Failed,77,40,1
7.8539,Failed,94,30,1
6.9093,Failed,94,30,1
7.4005,Failed,94,30,1
8.3751,Failed,94,30,1
8.4404,Failed,94,30,1
6.3178,Failed,94,30,1
7.9263,Failed,94,30,1
7.2869,Failed,94,30,1
7.6961,Failed,94,30,1
7.2476,Failed,94,30,1
7.6631,Failed,94,30,1
7.1425,Failed,94,30,1
7.7944,Failed,94,30,1
10,Censored,94,30,2
7.5353,Failed,94,30,1
7.7688,Failed,94,30,1
7.8596,Failed,94,30,1
7.2853,Failed,94,30,1
7.3723,Failed,94,30,1
8.0974,Failed,94,30,1
9.1005,Failed,94,30,1
8.2582,Failed,94,30,1
7.7097,Failed,94,30,1
7.8891,Failed,94,30,1
9.147,Failed,94,30,1
8.8801,Failed,94,30,1
8.7206,Failed,94,30,1
8.0593,Failed,94,30,1
7.9486,Failed,94,30,1
5.5486,Failed,110,40,1
6.2801,Failed,110,40,1
6.2645,Failed,110,40,1
6.3142,Failed,110,40,1
6.4106,Failed,110,40,1
5.4502,Failed,110,40,1
6.0423,Failed,110,40,1
6.1239,Failed,110,40,1
6.4809,Failed,110,40,1
5.9984,Failed,110,40,1
5.8361,Failed,110,40,1
5.8492,Failed,110,40,1
5.5361,Failed,110,40,1
6.0865,Failed,110,40,1
6.2222,Failed,110,40,1
6.0402,Failed,110,40,1
5.8285,Failed,110,40,1
5.2414,Failed,110,40,1
6.0604,Failed,110,40,1
7.119,Failed,110,40,1
7.8992,Failed,110,40,1
7.243,Failed,110,40,1
6.2469,Failed,110,40,1
7.1937,Failed,110,40,1
6.261,Failed,110,40,1
7.0448,Failed,110,40,1
6.0686,Failed,110,40,1
6.1193,Failed,110,40,1
5.5292,Failed,110,40,1
6.7142,Failed,110,40,1
6.5313,Failed,114,30,1
8.6682,Failed,114,30,1
7.6698,Failed,114,30,1
7.672,Failed,114,30,1
7.1587,Failed,114,30,1
5.1584,Failed,114,30,1
6.7638,Failed,114,30,1
7.4136,Failed,114,30,1
7.2649,Failed,114,30,1
7.3587,Failed,114,30,1
8.0124,Failed,114,30,1
6.294,Failed,114,30,1
6.9981,Failed,114,30,1
7.4821,Failed,114,30,1
7.2857,Failed,114,30,1
7.3733,Failed,114,30,1
8.7472,Failed,114,30,1
6.5175,Failed,114,30,1
6.7202,Failed,114,30,1
7.6527,Failed,114,30,1
10,Censored,114,30,1
7.4295,Failed,114,30,1
7.8822,Failed,114,30,1
7.941,Failed,114,30,1
6.4261,Failed,114,30,1
8.0123,Failed,114,30,1
6.8571,Failed,114,30,1
7.1155,Failed,114,30,1
7.7902,Failed,114,30,1
7.3715,Failed,114,30,1
4.8347,Failed,130,40,1
4.7785,Failed,130,40,1
3.7792,Failed,130,40,1
4.1502,Failed,130,40,1
4.2714,Failed,130,40,1
3.1983,Failed,130,40,1
4.148,Failed,130,40,1
3.9958,Failed,130,40,1
4.4549,Failed,130,40,1
4.7368,Failed,130,40,1
4.1334,Failed,130,40,1
3.5969,Failed,130,40,1
3.7621,Failed,130,40,1
3.9114,Failed,130,40,1
3.6467,Failed,130,40,1
5.4284,Failed,130,40,1
4.5918,Failed,130,40,1
3.9739,Failed,130,40,1
3.0785,Failed,130,40,1
3.3997,Failed,130,40,1
4.6884,Failed,130,40,1
4.9178,Failed,130,40,1
4.6953,Failed,130,40,1
4.9063,Failed,130,40,1
3.7388,Failed,130,40,1
3.8368,Failed,130,40,1
4.1953,Failed,130,40,1
4.6905,Failed,130,40,1
4.3414,Failed,130,40,1
5.9211,Failed,130,40,1
