Toaster Cycles,Censoring Indicator,Count,Design
90,Failure,2,Old
90,Censored,1,Old
190,Censored,1,Old
218,Censored,2,Old
241,Censored,1,Old
268,Failure,1,Old
349,Censored,1,Old
378,Censored,2,Old
410,Failure,2,Old
410,Censored,1,Old
485,Failure,1,Old
508,Failure,1,Old
600,Censored,4,Old
631,Failure,3,Old
635,Failure,1,Old
658,Failure,1,Old
658,Censored,1,Old
731,Failure,1,Old
739,Failure,1,Old
739,Censored,4,Old
790,Failure,1,Old
790,Censored,11,Old
855,Failure,1,Old
980,Failure,2,Old
980,Censored,5,Old
45,Censored,1,New
47,Failure,1,New
73,Failure,1,New
136,Censored,5,New
145,Failure,1,New
190,Censored,2,New
281,Censored,1,New
311,Failure,1,New
417,Censored,1,New
485,Censored,2,New
490,Failure,1,New
569,Censored,1,New
571,Failure,1,New
571,Censored,1,New
575,Failure,1,New
608,Failure,2,New
608,Censored,12,New
630,Failure,1,New
670,Failure,2,New
731,Censored,1,New
838,Failure,1,New
964,Failure,2,New
1164,Censored,7,New
1198,Failure,1,New
1198,Censored,1,New
1300,Censored,3,New
