Thousands of Cycles,Censoring Indicator,Pseudo Stress (ksi)
5.733,Failure,145.9
13.949,Failure,85.2
15.616,Failure,116.4
56.723,Failure,87.2
12.076,Failure,100.1
152.68,Failure,85.8
43.331,Failure,99.8
18.067,Failure,113
9.75,Failure,120.4
156.725,Failure,86.4
112.968,Right,85.6
138.114,Right,86.7
122.372,Right,89.7
21.3,Failure,114.8
6.705,Failure,144.5
112.002,Failure,91.3
11.865,Failure,142.5
13.181,Failure,100.5
8.489,Failure,118.4
12.434,Failure,118.6
13.03,Failure,118
57.923,Right,80.8
121.075,Failure,87.3
200.027,Failure,80.6
211.629,Failure,80.3
155,Failure,84.3
