Batch Number,Strength (g),Censoring Indicator
Batch1,504,Failed
Batch1,168,Failed
Batch1,420,Failed
Batch1,336,Failed
Batch1,540,Failed
Batch1,516,Failed
Batch1,936,Failed
Batch1,756,Failed
Batch1,936,Failed
Batch1,592,Failed
Batch1,468,Failed
Batch1,600,Censored
Batch1,376,Failed
Batch1,600,Censored
Batch1,600,Censored
Batch1,588,Failed
Batch1,600,Censored
Batch1,600,Censored
Batch4,396,Failed
Batch4,300,Failed
Batch4,420,Failed
Batch4,336,Failed
Batch4,516,Failed
Batch4,540,Failed
Batch4,396,Failed
Batch4,696,Failed
Batch4,600,Failed
Batch5,516,Failed
Batch5,300,Failed
Batch5,420,Failed
Batch5,540,Failed
Batch5,276,Failed
Batch5,276,Failed
