Hours Lower,Hours Upper,Censoring Indicator,Truncation Indicator,Truncation Hours,Count,Vendor Number
1,1,Left,Exact,0,10,V1
1,2,Interval,Exact,0,1,V1
2,5,Interval,Exact,0,3,V1
5,10,Interval,Exact,0,1,V1
10,20,Interval,Exact,0,2,V1
20,50,Interval,Exact,0,6,V1
50,100,Interval,Exact,0,3,V1
100,200,Interval,Exact,0,2,V1
200,500,Interval,Exact,0,8,V1
500,1000,Interval,Exact,0,4,V1
1000,2000,Interval,Exact,0,5,V1
2000,5000,Interval,Exact,0,6,V1
5000,6000,Interval,Exact,0,3,V1
6000,7000,Interval,Exact,0,9,V1
7000,8000,Interval,Exact,0,10,V1
8000,9000,Interval,Exact,0,16,V1
9000,10000,Interval,Exact,0,7,V1
10000,10000,Suspended,Exact,0,4897,V1
1000,2000,Interval,Left,1000,4,V2
2000,5000,Interval,Left,1000,4,V2
5000,6000,Interval,Left,1000,5,V2
6000,7000,Interval,Left,1000,11,V2
7000,8000,Interval,Left,1000,7,V2
8000,9000,Interval,Left,1000,14,V2
9000,10000,Interval,Left,1000,10,V2
10000,11000,Interval,Left,1000,14,V2
11000,11000,Suspended,Left,1000,4924,V2
