System Number,Device Number,Hours,Censoring Indicator
1,1,564,Censored
2,1,1321,Censored
3,1,1933,Censored
5,1,1965,Censored
4,1,2578,Censored
6,1,3122,Censored
7,1,5918,Censored
8,1,7912,Censored
9,1,8156,Censored
10,1,7885,Failed
1,2,564,Censored
2,2,1104,Failed
3,2,1933,Censored
5,2,1965,Censored
4,2,2345,Failed
6,2,3122,Censored
7,2,5918,Censored
8,2,7912,Censored
9,2,8156,Censored
10,2,12229,Censored
1,3,564,Censored
2,3,1321,Censored
3,3,1933,Censored
5,3,1965,Censored
4,3,2578,Censored
6,3,3122,Censored
7,3,4467,Failed
8,3,6623,Failed
9,3,8156,Censored
10,3,12229,Censored
