Hours,Censoring Indicator,Count
450,Fail,1
460,Censored,1
1150,Fail,2
1560,Censored,1
1600,Fail,1
1660,Censored,1
1850,Censored,5
2030,Censored,3
2070,Fail,2
2080,Fail,1
2200,Censored,1
3000,Censored,4
3100,Fail,1
3200,Censored,1
3450,Fail,1
3750,Censored,2
4150,Censored,4
4300,Censored,4
4600,Fail,1
4850,Censored,4
5000,Censored,3
6100,Censored,3
6100,Fail,1
6300,Censored,1
6450,Censored,2
6700,Censored,1
7450,Censored,1
7800,Censored,2
8100,Censored,2
8200,Censored,1
8500,Censored,3
8750,Censored,2
8750,Fail,1
9400,Censored,1
9900,Censored,1
10100,Censored,3
11500,Censored,1
