Unit,Hours,Cost,Status
24,7068,1,Event
24,26744,0,End
26,28,1,Event
26,13809,0,End
27,48,1,Event
27,1440,1,Event
27,29834,0,End
29,530,1,Event
29,25660,0,End
31,21762,0,End
32,14235,0,End
34,1388,1,Event
34,21133,0,End
35,21401,0,End
98,21876,0,End
107,5094,1,Event
107,18228,0,End
108,21691,0,End
109,20890,0,End
110,22486,0,End
111,19321,0,End
112,21585,0,End
113,18676,0,End
114,23520,0,End
115,17955,0,End
116,19507,0,End
117,24177,0,End
118,22854,0,End
119,17844,0,End
120,22637,0,End
121,375,1,Event
121,19607,0,End
122,19403,0,End
123,20997,0,End
124,19175,0,End
125,20425,0,End
126,22149,0,End
129,21144,0,End
130,21237,0,End
131,14281,0,End
132,8250,1,Event
132,21974,0,End
133,19250,1,Event
133,21888,0,End
