Voltage,Result,VoltageL,VoltageU,Detonate,Censor
18,0,18,,No,Left
19,0,19,,No,Left
20,0,20,,No,Left
21,1,,21,Yes,Right
20,1,,20,Yes,Right
19,1,,19,Yes,Right
18,0,18,,No,Left
19,1,,19,Yes,Right
18,0,18,,No,Left
18,0,18,,No,Left
18.25,0,18.25,,No,Left
18.5,0,18.5,,No,Left
18.75,0,18.75,,No,Left
19,0,19,,No,Left
19.25,1,,19.25,Yes,Right
19,1,,19,Yes,Right
18.75,0,18.75,,No,Left
19,1,,19,Yes,Right
18.75,0,18.75,,No,Left
19,0,19,,No,Left
19.25,1,,19.25,Yes,Right
19,0,19,,No,Left
19.25,1,,19.25,Yes,Right
19,1,,19,Yes,Right
18.75,0,18.75,,No,Left
19,1,,19,Yes,Right
18.75,0,18.75,,No,Left
19,0,19,,No,Left
19.25,0,19.25,,No,Left
19.5,1,,19.5,Yes,Right
19.25,1,,19.25,Yes,Right
19,1,,19,Yes,Right
18.75,1,,18.75,Yes,Right
18.5,0,18.5,,No,Left
18.75,0,18.75,,No,Left
19,0,19,,No,Left
18.75,0,18.75,,No,Left
18.5,0,18.5,,No,Left
18.75,0,18.75,,No,Left
18.5,0,18.5,,No,Left
