Initial Censoring Indicator,Adjusted Censoring Indicator,Pages Printed,Ink Type
Suspend,Suspend,113,InkA
Suspend,Suspend,113,InkA
Suspend,Suspend,226,InkA
Fail,Suspend,3164,InkA
Fail,Suspend,4294,InkA
Fail,Suspend,5650,InkA
Suspend,Suspend,5763,InkA
Fail,Fail,13221,InkA
Fail,Fail,13334,InkA
Fail,Fail,13786,InkA
Fail,Fail,14238,InkA
Fail,Fail,14351,InkA
Fail,Fail,14803,InkA
Fail,Fail,15255,InkA
Fail,Fail,15368,InkA
Fail,Fail,15368,InkA
Fail,Fail,16385,InkA
Fail,Fail,16385,InkA
Suspend,Suspend,226,InkB
Fail,Suspend,2938,InkB
Fail,Suspend,4746,InkB
Fail,Suspend,5876,InkB
Fail,Fail,11865,InkB
Fail,Fail,12091,InkB
Fail,Fail,12317,InkB
Fail,Fail,12430,InkB
Fail,Fail,12543,InkB
Fail,Fail,12543,InkB
Fail,Fail,12543,InkB
Fail,Fail,12543,InkB
Fail,Fail,12543,InkB
Fail,Fail,12656,InkB
Fail,Fail,12656,InkB
Fail,Fail,13221,InkB
Fail,Fail,13221,InkB
Fail,Fail,13786,InkB
Fail,Fail,13899,InkB
Fail,Fail,14803,InkB
Fail,Fail,14916,InkB
Fail,Fail,15481,InkB
Fail,Fail,15820,InkB
Fail,Fail,16724,InkB
