Microns,Unit,Cycles,Grams
3.168,101,2,10
4.063,101,5,10
4.453,101,10,10
4.744,101,20,10
5.838,101,50,10
6.786,101,100,10
7.737,101,200,10
9.593,101,500,10
2.727,102,2,10
3.449,102,5,10
3.79,102,10,10
3.87,102,20,10
5.359,102,50,10
5.67,102,100,10
6.315,102,200,10
8.417,102,500,10
2.078,103,2,10
2.655,103,5,10
3.136,103,10,10
3.289,103,20,10
3.958,103,50,10
4.572,103,100,10
5.69,103,200,10
6.644,103,500,10
2.633,104,2,10
3.498,104,5,10
4.013,104,10,10
4.012,104,20,10
5.192,104,50,10
6.123,104,100,10
6.705,104,200,10
8.512,104,500,10
7.538,105,2,50
7.806,105,5,50
8.159,105,10,50
10.637,105,20,50
12.621,105,50,50
13.323,105,100,50
12.869,105,200,50
14.842,105,500,50
7.497,106,2,50
8.08,106,5,50
9.779,106,10,50
10.928,106,20,50
14.797,106,50,50
16.116,106,100,50
17.334,106,200,50
20.179,106,500,50
6.978,107,2,50
8.896,107,5,50
9.39,107,10,50
11.148,107,20,50
12.447,107,50,50
13.538,107,100,50
16.674,107,200,50
17.319,107,500,50
7.805,108,2,50
8.889,108,5,50
9.996,108,10,50
11.524,108,20,50
13.697,108,50,50
16.176,108,100,50
16.233,108,200,50
21.041,108,500,50
12.53,109,2,100
15.38,109,5,100
17.21,109,10,100
20.48,109,20,100
24.1,109,50,100
26.97,109,100,100
29.44,109,200,100
37.87,109,500,100
10.96,110,2,100
13.87,110,5,100
16.07,110,10,100
18.56,110,20,100
22.22,110,50,100
27.82,110,100,100
31.04,110,200,100
36.63,110,500,100
13.05,111,2,100
15.12,111,5,100
18.58,111,10,100
20.18,111,20,100
23.9,111,50,100
29.71,111,100,100
31.47,111,200,100
39.65,111,500,100
11.66,112,2,100
13.68,112,5,100
16.71,112,10,100
17.52,112,20,100
22.3,112,50,100
25.28,112,100,100
31.99,112,200,100
38.16,112,500,100
